) for {0},) для {0},
A {0} exists between {1} and {2} (,{0} находится между {1} и {2} (,
Absent,Отсутствует на рабочем месте,
Accrual Journal Entry for salaries from {0} to {1},Бухгалтерская запись по начислению заработной платы с {0} по {1},
Add to Details,Добавить в детали,
Added to details,Добавлено в детали,
All Jobs,Все вакантные позиции,
Allocated Leaves,Распределенные отпуска,
Annual Salary,Годовая заработная плата,
Application period cannot be across two allocation records,Период подачи заявления не может пересекать два периода распределения,
Application period cannot be outside leave allocation period,Период подачи заявления не может выходить за рамки периода распределения отпусков,
Apply Now,Подать заявку,
Apprentice,Стажер,
Approval Status,Статус согласования,
Approval Status must be 'Approved' or 'Rejected',"Статус согласования должен быть ""Одобрено"" или ""Отклонено""",
As per your assigned Salary Structure you cannot apply for benefits,"Согласно вашей структуре оплаты труда, вы не можете претендовать на дополнительные льготы",
Assign,Назначить,
Assign Salary Structure,Назначить структуру оплаты труда,
Assign to Employees,Назначить сотрудникам,
Assigning Structures...,Назначение структур...,
Attendance,Учет рабочего времени,
Attendance From Date and Attendance To Date is mandatory,Даты начала и окончания учетного периода обязательны к заполнению,
Attendance for employee {0} is already marked for this day,Присутствие сотрудника {0} уже отмечено на эту дату,
Attendance not submitted for {0} as it is a Holiday.,"Табель не заполнен для {0}, так как это праздничный день.",
Bank Entries,Банковские операции,
Base,Базовая ставка,
Beginner,Начинающий специалист,
Birthday Reminder,Напоминание о днях рождения,
Bonus Payment Date cannot be a past date,Дата выплаты премии не может быть прошедшей датой,
Calls,Звонки,
Cannot find active Leave Period,Не найден активный период отпусков,
Casual Leave,Отпуск без сохранения заработной платы,
Claimed Amount,Заявленная сумма,
Compensatory Off,Отгул за переработку,
Contact Number,Контактный номер,
Course,Курс обучения,
Create Disbursement Entry,Создать платежное поручение,
Create Salary Slip,Создать расчетный лист,
Create Salary Slips,Создать расчетные листы,
Creating Payment Entries......,Создание платежных документов......,
Creating Salary Slips...,Формирование расчетных листов...,
Current,Текущий период,
Current Job Openings,Актуальные вакансии,
Daily Work Summary,Ежедневный отчет о работе,
Daily Work Summary Group,Группа ежедневной отчетности,
Date is repeated,Дата дублируется,
Debit A/C Number,Номер расчетного счета,
Deduction,Удержания,
Document Status,Статус документа,
Earning,Начисления,
Employee A/C Number,Номер счета сотрудника,
Employee Benefits,Социальный пакет сотрудника,
Employee Grade,Грейд сотрудника,
Employee Referral,Рекомендация сотрудника,
Employee relieved on {0} must be set as 'Left',"Сотрудник, освобожденный от должности {0}, должен быть отмечен как 'Уволенный'",
Employee {0} already submited an apllication {1} for the payroll period {2},Сотрудник {0} уже подал заявление {1} за расчетный период {2},
Employee {0} has no maximum benefit amount,Для сотрудника {0} не установлен максимальный размер льгот,
Employee {0} is not active or does not exist,Сотрудник {0} не активен или не существует,
Employee {0} is on Leave on {1},Сотрудник {0} находится в отпуске {1},
Employee {0} on Half day on {1},Сотрудник {0} работает неполный ��ень {1},
End time cannot be before start time,Время окончания не может быть раньше времени начала,
Evaluation,Оценка эффективности,
Event Location,Место проведения мероприятия,
Event Name,Название мероприятия,
Expense Claim for Vehicle Log {0},Авансовый отчет по транспортному журналу {0},
Expense Claim {0} already exists for the Vehicle Log,Авансовый отчет {0} уже существует для транспортного журнала,
Fill the form and save it,Заполните форму и сохраните ее,
Filter Employees By (Optional),Фильтровать сотрудников по (опционально),
Fiscal Year {0} not found,Финансовый год {0} не найден,
Food,Питание,
For Employee,Для сотрудника,
From Date {0} cannot be after employee's relieving Date {1},Дата начала {0} не может быть позже даты увольнения сотрудника {1},
From Date {0} cannot be before employee's joining Date {1},Дата начала {0} не может быть раньше даты приема сотрудника {1},
From date can not be less than employee's joining date,Дата начала не может быть раньше даты приема сотрудника,
Fuel Price,Стоимость топлива,
Fuel Qty,Количество топлива,
Full-time,Полная занятость,
Future dates not allowed,Даты в будущем не допускаются,
Get Details From Declaration,Получить данные из декларации,
Get Employees,Получить список сотрудников,
Gross Pay,Начисленная заработная плата,
Guest,Гость,
